School Name,STAR Location Code,Area,Begin,Min.,Instr.,Min.,Recess,Min.,Instr.,Min.,Lunch,Min.,Instr.,Min.,Recess,Min.,Instr.,Min.,Dismiss,Min.,After
Oscar Peterson,101465,North,08:35,00:15,08:50,01:40,10:30,00:30,11:00,01:40,12:40,01:00,13:40,01:40,,00:00,,00:00,15:20,00:15,15:35
Park Avenue,101161,North,08:15,00:15,08:30,01:40,10:10,00:20,10:30,01:40,12:10,01:00,13:10,01:40,,00:00,,00:00,14:50,00:15,15:05
Parkland,301439,East,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Parkview,301452,East,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Phoebe Gilman,101155,North,08:15,00:15,08:30,02:00,10:30,00:30,11:00,01:20,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Pierre Berton,401356,West,08:15,00:15,08:30,01:40,10:10,00:20,10:30,01:40,12:10,01:00,13:10,01:40,,00:00,,00:00,14:50,00:15,15:05
Pine Grove,401363,West,08:10,00:15,08:25,01:40,10:05,00:20,10:25,01:40,12:05,01:00,13:05,01:40,,00:00,,00:00,14:45,00:15,15:00
Pleasantville,201367,Central,08:30,00:15,08:45,01:40,10:25,00:30,10:55,01:40,12:35,01:00,13:35,01:40,,00:00,,00:00,15:15,00:15,15:30
Poplar Bank,101146,North,07:50,00:15,08:05,01:40,09:45,00:30,10:15,01:40,11:55,01:00,12:55,01:40,,00:00,,00:00,14:35,00:15,14:50
Prince Charles,101165,North,08:25,00:15,08:40,01:40,10:20,00:30,10:50,01:40,12:30,01:00,13:30,01:40,,00:00,,00:00,15:10,00:15,15:25
Queensville,101169,North,08:35,00:15,08:50,01:40,10:30,00:30,11:00,01:40,12:40,01:00,13:40,01:40,,00:00,,00:00,15:20,00:15,15:35
R.L. Graham,101133,North,08:00,00:15,08:15,02:00,10:15,00:30,10:45,01:20,12:05,01:00,13:05,01:40,,00:00,,00:00,14:45,00:15,15:00
Ramer Wood,301454,East,08:30,00:15,08:45,01:40,10:25,00:30,10:55,01:40,12:35,01:00,13:35,01:40,,00:00,,00:00,15:15,00:15,15:30
Randall,301455,East,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Red Maple,201224,Central,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Redstone,201232,Central,08:55,00:15,09:10,01:40,10:50,00:20,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Reesor Park,301456,East,08:10,00:15,08:25,01:40,10:05,00:30,10:35,01:40,12:15,01:00,13:15,01:40,,00:00,,00:00,14:55,00:15,15:10
Regency Acres,201274,Central,08:10,00:15,08:25,01:40,10:05,00:30,10:35,01:40,12:15,01:00,13:15,01:40,,00:00,,00:00,14:55,00:15,15:10
Richmond Rose,201276,Central,08:20,00:15,08:35,01:40,10:15,00:30,10:45,01:40,12:25,01:00,13:25,01:40,,00:00,,00:00,15:05,00:15,15:20
Rick Hansen,201251,Central,08:55,00:15,09:10,01:40,10:50,00:30,11:20,01:40,13:00,01:00,14:00,01:40,,00:00,,00:00,15:40,00:15,15:55
Robert Munsch,101156,North,07:55,00:15,08:10,01:40,09:50,00:30,10:20,01:40,12:00,01:00,13:00,01:40,,00:00,,00:00,14:40,00:15,14:55
Rogers,101173,North,08:00,00:15,08:15,01:40,09:55,00:30,10:25,01:40,12:05,01:00,13:05,01:40,,00:00,,00:00,14:45,00:15,15:00
Romeo Dallaire,401354,West,08:50,00:15,09:05,01:40,10:45,00:30,11:15,01:40,12:55,01:00,13:55,01:40,,00:00,,00:00,15:35,00:15,15:50
Rosedale Heights,401370,West,08:15,00:15,08:30,01:40,10:10,00:20,10:30,01:40,12:10,01:00,13:10,01:40,,00:00,,00:00,14:50,00:15,15:05
Roselawn,201371,Central,08:50,00:15,09:05,01:40,10:45,00:30,11:15,01:40,12:55,01:00,13:55,01:40,,00:00,,00:00,15:35,00:15,15:50
Ross Doan,201375,Central,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Rouge Park,301479,East,07:55,00:15,08:10,01:40,09:50,00:30,10:20,01:40,12:00,01:00,13:00,01:40,,00:00,,00:00,14:40,00:15,14:55
Roy H. Crosby,301460,East,08:20,00:15,08:35,01:40,10:15,00:30,10:45,01:40,12:25,01:00,13:25,01:40,,00:00,,00:00,15:05,00:15,15:20
Sam Chapman,301474,East,07:50,00:15,08:05,02:00,10:05,00:30,10:35,01:20,11:55,01:00,12:55,01:40,,00:00,,00:00,14:35,00:15,14:50
Schomberg,201278,Central,08:35,00:15,08:50,01:40,10:30,00:30,11:00,01:40,12:40,01:00,13:40,01:40,,00:00,,00:00,15:20,00:15,15:35
Sharon,101177,North,08:55,00:15,09:10,01:40,10:50,00:30,11:20,01:40,13:00,01:00,14:00,01:40,,00:00,,00:00,15:40,00:15,15:55
Sibbald Pt Outdoor,101142,North,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Silver Pines,201376,Central,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Silver Stream,201225,Central,07:50,00:15,08:05,01:40,09:45,00:30,10:15,01:40,11:55,01:00,12:55,01:40,,00:00,,00:00,14:35,00:15,14:50
Sir Wilfrid Laurier,301462,East,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Sixteenth Avenue,201379,Central,08:40,00:15,08:55,01:40,10:35,00:30,11:05,01:40,12:45,01:00,13:45,01:40,,00:00,,00:00,15:25,00:15,15:40
Stonebridge,301441,East,08:40,00:15,08:55,01:40,10:35,00:30,11:05,01:40,12:45,01:00,13:45,01:40,,00:00,,00:00,15:25,00:15,15:40
Stonehaven,101179,North,08:10,00:15,08:25,01:40,10:05,00:30,10:35,01:40,12:15,01:00,13:15,01:40,,00:00,,00:00,14:55,00:15,15:10
Stornoway Cres.,401472,West,08:25,00:15,08:40,01:40,10:20,00:30,10:50,01:40,12:30,01:00,13:30,01:40,,00:00,,00:00,15:10,00:15,15:25
Stuart Scott,101181,North,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Summitview,101282,North,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Sutton,101185,North,07:55,00:15,08:10,01:40,09:50,00:30,10:20,01:40,12:00,01:00,13:00,01:40,,00:00,,00:00,14:40,00:15,14:55
Swan Lake Outdoor,201256,Central,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Tanya Khan,401369,West,07:55,00:15,08:10,01:40,09:50,00:30,10:20,01:40,12:00,01:00,13:00,01:40,,00:00,,00:00,14:40,00:15,14:55
Terry Fox,101140,North,07:45,00:15,08:00,01:40,09:40,00:30,10:10,01:40,11:50,01:00,12:50,01:40,,00:00,,00:00,14:30,00:15,14:45
Teston Village,401342,West,08:00,00:15,08:15,01:40,09:55,00:20,10:15,01:40,11:55,01:00,12:55,01:40,,00:00,,00:00,14:35,00:15,14:50
Thornhill,401381,West,08:15,00:15,08:30,01:40,10:10,00:20,10:30,01:40,12:10,01:00,13:10,01:40,,00:00,,00:00,14:50,00:15,15:05
Thornhill Woods,401346,West,08:45,00:15,09:00,01:40,10:40,00:20,11:00,01:40,12:40,01:00,13:40,01:40,,00:00,,00:00,15:20,00:15,15:35
